,,,,Overall,,,,,,ISAT Reading Meets/Exceeds,,,,,,,,,,ISAT Math Meets/Exceeds,,,,,,,,,,ISAT Science Meets/Exceeds,,,,,,,,,,ISAT Composite Exceeds,,,,,,,,,,"ISAT Composite Exceeds, High Grade",,,,,,,,,,,Attendance,,,,,,,,,,Value-Added Reading,,,Value-Added Math,,
School ID,Unit,School Name,Network,2013-2014 Probation Status,2012-2013 Level,Total Percent of Possible Points,Total Points Received,Total Points Possible,2013 ISAT Composite Meets/ Exceeds Percent,2013,2012,2011,2010,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2013,2012,2011,2010,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2013,2012,2011,2010,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2013,2012,2011,2010,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,High Grade,2013,2012,2011,2010,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2013,2012,2011,2010,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,Reading,Points,Points Possible,Math,Points,Points Possible
609830,2550,BRUNSON,ES Network - Austin-North Lawndale,Probation,Level 3,31.0%,13,42,31.4,27.2,24.6,27.1,19.5,25.9,+3.5,1,3,2,3,26.9,32.2,30.6,22,29.6,-1.4,1,3,0,3,59.6,44.6,35.5,48.4,52.1,+16.8,1,3,3,3,1.3,1,1.5,1.1,1.2,+0.1,0,3,1,3,8,1.8,0,0,0.6,0.9,+1.6,0,3,1,3,91.9,92.7,91.6,91.6,92.3,-0.1,1,3,0,3,-0.4,1,3,-0.5,1,3
609795,2230,"CLARK, G",ES Network - Austin-North Lawndale,Not on Probation,Level 1,83.3%,35,42,68.4,63.4,53.3,55.3,43.8,58.4,+12.6,3,3,3,3,66.9,59.3,57.9,46.7,63.1,+12.3,3,3,3,3,84.5,76.2,81.5,63.4,80.4,+10.8,3,3,3,3,15.8,6.4,6.2,5.7,11.1,+9.7,2,3,3,3,8,4,3.3,8.6,7.6,3.7,-2.5,1,3,0,3,95.5,95.8,94.3,95.1,95.7,+0.4,3,3,3,3,+0.1,2,3,+1.0,3,3
609873,2940,CROWN,ES Network - Austin-North Lawndale,Probation,Level 3,40.5%,17,42,35.8,29.1,31.9,30.2,24.4,30.5,+0.3,1,3,1,3,32,25,21.8,17.1,28.5,+10.7,1,3,3,3,66.7,70,60.7,47.3,68.4,+7.4,1,3,3,3,2.8,1.9,4.7,1.8,2.4,0.0,1,3,0,3,8,6.3,3.4,3.6,0,4.9,+4.0,1,3,2,3,92,93.1,92.6,94.3,92.6,-1.3,1,3,0,3,-0.9,1,3,-0.1,1,3
610367,8050,DE PRIEST,ES Network - Austin-North Lawndale,Not on Probation,Level 2,57.1%,24,42,37.1,39.8,39.5,32.9,26,39.7,+7.0,1,3,3,3,27.3,27.4,22.6,12.8,27.4,+6.4,1,3,3,3,57.5,62,60.8,47.7,59.8,+0.7,1,3,1,3,3.7,2,2.5,1.5,2.9,+1.7,1,3,1,3,8,10.4,0,5.8,0.7,5.2,+8.2,1,3,3,3,94.5,94,92.8,93.3,94.3,+1.1,2,3,3,3,+0.8,2,3,-0.3,1,3
610254,6760,DVORAK TECH ACAD,ES Network - Austin-North Lawndale,Probation,Level 3,16.7%,7,42,24,27.3,28.3,35.3,23.5,27.8,-1.7,1,3,0,3,14.7,20.3,28.2,26.6,17.5,-10.3,0,3,0,3,40.4,51.9,39,43.9,46.2,-4.5,0,3,0,3,1,1.6,4.7,1.7,1.3,-1.7,0,3,0,3,8,1.8,2.2,0.9,0.7,2,+0.5,1,3,1,3,93.1,94,94.2,94.3,93.6,-1.1,2,3,0,3,-0.8,1,3,-0.9,1,3
609904,3220,ELLINGTON,ES Network - Austin-North Lawndale,Not on Probation,Level 1,73.8%,31,42,55.7,50.6,39.5,39.2,33.9,45.1,+13.1,2,3,3,3,53.9,57.3,36.2,21.5,55.6,+15.6,3,3,3,3,74.2,76.9,57.1,51.6,75.6,+12.3,2,3,3,3,4.8,3.9,4.6,1,4.4,+1.6,1,3,1,3,8,6.8,9.6,5.4,4.2,8.2,+0.4,2,3,1,3,96.4,95.1,93.4,92,95.8,+2.9,3,3,3,3,+1.5,3,3,-0.8,1,3
610503,5850,FRAZIER PROSPECTIVE,ES Network - Austin-North Lawndale,Not on Probation,Level 1,83.3%,35,42,76.3,71.5,75,71.6,56.3,73.3,+3.9,3,3,2,3,77.1,75.7,74.4,58.9,76.4,+7.4,3,3,3,3,88.9,93.5,87,97.8,91.2,-3.9,3,3,0,3,17.1,16.5,10.2,6.3,16.8,+6.1,3,3,3,3,8,22.9,10,0,,16.5,+17.9,3,3,3,3,96.2,97.2,96.9,97.1,96.7,-0.9,3,3,3,3,+0.3,2,3,-0.3,1,3
609975,3840,HAY,ES Network - Austin-North Lawndale,Probation,Level 3,35.7%,15,42,40.9,34.8,36.7,39.6,26.3,35.8,+0.6,1,3,1,3,36.9,39.4,37.3,24.5,38.2,+3.2,2,3,2,3,68.5,58.3,57.8,58.8,63.4,+10.2,1,3,3,3,3.6,4.2,3.7,1.5,3.9,+0.5,1,3,1,3,8,1.9,3.8,2.7,0,2.9,-0.3,1,3,0,3,91.9,93,93,93.7,92.5,-1.3,1,3,0,3,-1.2,0,3,-1.0,1,3
610005,4110,"HUGHES, C",ES Network - Austin-North Lawndale,Probation,Level 3,35.7%,15,42,42.9,31.6,39.3,27.3,29.2,35.5,-0.3,1,3,0,3,46.1,46.6,41.3,38.2,46.4,+4.1,3,3,2,3,64.9,68.1,64.3,70.8,66.5,-2.8,1,3,0,3,3,4,3,2.9,3.5,-0.3,1,3,0,3,8,0,3.4,9.1,1.1,1.7,-4.5,1,3,0,3,95,95.8,94.4,94.8,95.4,0.0,3,3,3,3,-1.8,0,3,-1.7,0,3
