SQRP SY2019 Individual Indicator Scores (Based on 2017-2018 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2018-2019 SQRP Rating,SY 2018-2019 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400031,CICS - WRIGHTWOOD,Charter,3.4,Level 2+,Not Applicable,71,100,4,17.5,31,100,2,17.5,49.2,100,2,10,73,100,5,1.25,,,,,,,,,99,100,5,1.25,32,100,3,1.25,,,,,,,,,99,100,5,1.25,57,100,3,5,36,100,2,5,42,100,3,2.5,41,100,3,2.5,95.1,4,20,Well Organized,5,10,100,5,5,
400039,ERIE,Charter,2.7,Level 2,Not Applicable,48,100,3,17.5,23,100,2,17.5,44.9,100,2,10,66,100,4,1.25,40,100,3,1.25,,,,,,,,,52,100,4,1.25,18,100,2,1.25,,,,,,,,,43,100,3,5,17,100,2,5,12,100,2,2.5,6,100,1,2.5,95.1,4,20,Not Yet Organized,1,10,99.9,5,5,
400040,FRAZIER CHARTER,Charter,2.2,Level 2,Not Applicable,36,100,2,18.75,9,100,1,18.75,40.1,100,2,10,34,100,3,1.25,,,,,,,,,,,,,10,100,2,1.25,,,,,,,,,,,,,28,100,2,5,13,100,2,5,3,100,1,2.5,1,100,1,2.5,95.5,4,20,Not Yet Organized,1,10,99,5,5,
400043,HOPE LEARNING ACADEMY,Contract,3,Level 2+,Good Standing,54,100,3,17.5,31,100,2,17.5,48.4,100,2,10,52,100,4,1.25,,,,,,,,,10,100,2,1.25,28,100,2,1.25,,,,,,,,,25,100,2,1.25,26,100,2,5,21,100,2,5,13,98,2,2.5,4,98,1,2.5,95.1,4,20,Well Organized,5,10,100,5,5,
400044,KIPP - ASCEND,Charter,3.7,Level 1,Not Applicable,71,100,4,17.5,73,100,4,17.5,58.8,100,3,10,70,100,5,1.25,,,,,,,,,42,100,3,1.25,72,100,5,1.25,,,,,,,,,12,100,2,1.25,41,100,3,5,44,100,3,5,9,100,1,2.5,10,100,2,2.5,95.8,4,20,Organized,4,10,99.7,5,5,
400045,NKRUMAH,Charter,1.5,Level 3,Not Applicable,3,100,1,18.75,8,100,1,18.75,33.2,100,1,10,3,100,1,1.25,,,,,,,,,,,,,8,100,1,1.25,,,,,,,,,,,,,18,100,2,5,8,100,1,5,46,95,3,2.5,29,95,2,2.5,92.9,2,20,Not Yet Organized,1,10,99.2,5,5,
400046,LEARN - BUTLER,Charter,3,Level 2+,Not Applicable,36,100,2,17.5,35,100,2,17.5,47.7,100,2,10,36,100,3,1.25,,,,,,,,,2,100,1,1.25,35,100,3,1.25,,,,,,,,,13,100,2,1.25,57,100,3,5,49,100,3,5,51,100,3,2.5,60,100,3,2.5,96.3,5,20,Moderately Organized,3,10,99.7,5,5,
400047,LEARN - CAMPBELL,Charter,3.3,Level 2+,Not Applicable,66,100,3,18.75,28,100,2,18.75,52.3,100,3,10,60,100,4,1.25,,,,,,,,,,,,,28,100,2,1.25,,,,,,,,,,,,,52,100,3,5,47,100,3,5,57,100,3,2.5,51,100,3,2.5,95.2,4,20,Well Organized,5,10,100,5,5,
400048,LEARN - EXCEL,Charter,3.7,Level 1,Not Applicable,46,100,3,17.5,55,100,3,17.5,56.3,100,3,10,44,100,3,1.25,,,,,,,,,22,100,2,1.25,55,100,4,1.25,,,,,,,,,63,100,4,1.25,43,100,3,5,56,100,3,5,48,100,3,2.5,46,100,3,2.5,96.4,5,20,Well Organized,5,10,99.8,5,5,
400049,LEGACY,Charter,3.2,Level 2+,Not Applicable,30,100,2,17.5,53,100,3,17.5,51.6,100,3,10,29,100,2,1.25,,,,,,,,,8,100,1,1.25,52,100,4,1.25,,,,,,,,,61,100,4,1.25,42,100,3,5,43,100,3,5,32,99,2,2.5,20,100,2,2.5,95.9,4,20,Organized,4,10,99.7,5,5,
